Address,Locked Celo Balance,Locked Celo in USD,Snapshot Date
0x00d9651368bc7bf25710262d7b82dd5095495cee,67710.44156888213,32938.89537868938,2023-08-15 12-00
0x800fd4dd74c5b3047d62757fd8f7a8577d19625f,128452.77478750008,62488.0359925508,2023-08-15 12-00
0xb89450ec3ae6257600a9bff818d676f1ac569e40,97571.6552916988,47465.39043478684,2023-08-15 12-00
0xcce4651959cb9f208751433db69c2e7f47b23af1,0,0,2023-08-15 12-00
0xf1dd2882f6fdb1792a4b71d2320c9ff167c39736,42850.4034630858,20845.30722147696,2023-08-15 12-00
0x351aebcded9240ae77dd0a3987e2110b15e0f038,91896.41318341068,44704.57243209424,2023-08-15 12-00
0x38777e54f9d386514a6692dddba8a490676ed60a,0,0,2023-08-15 12-00
0x9b79f678580902536bdf346da1aebf9bb268b867,84738.00204329503,41222.2416399956,2023-08-15 12-00
0xe004118f8208fc028ba658aa1d2aa6c4cda3dcbf,96473.30700717228,46931.08023985807,2023-08-15 12-00
0x8d7ab081c7cd2ed14ee81e29ac01ab25676a48ec,83029.42531460765,40391.07544452124,2023-08-15 12-00
0xcff6304a82638e75a1aaf86a994ae20033c1878b,82830.32306126755,40294.218768645645,2023-08-15 12-00
0xc7838a9fbcc69ba447e237fce8e27e2b91dc1212,82732.7734983068,40246.76412540081,2023-08-15 12-00
0xeb542d863b1798c10524a050b110290347b36bd1,0,0,2023-08-15 12-00
0xa3415d81a7e8a6cd0643b74e5722c83fc0b648bd,80310.83658300072,39068.57174002261,2023-08-15 12-00
0xb6a1bca0c67e9c9b358c40e45d27b598d5be0ef9,0,0,2023-08-15 12-00
0x4872bdfd6b264c48c9c93af100d50011b0b384f9,78586.19835962138,38229.592157409934,2023-08-15 12-00
0x2e5ef3dac8e3156533ed29ded8ce8b9f8920f2ca,77648.92143077553,37773.637861665076,2023-08-15 12-00
0x7e788daf106e75f466da2615e54cb5ee4dbd6461,45659.553924065665,22211.86621877845,2023-08-15 12-00
0xdfa0022c44b2959330f5953fe32691558a46d475,76450.71547466317,37190.75020481297,2023-08-15 12-00
0x56e73576aa23b24dbf762d3a42f0b0cdd56d9884,73839,35920.236812999996,2023-08-15 12-00
0x2cf21fcccb2bcd7200c404eaae02a3bbbbdffe75,72706.89449554583,35369.50484456469,2023-08-15 12-00
0x78318c7088a2ee6452c74937e041f41f576f0f69,0,0,2023-08-15 12-00
0xf93b6e547cb0dc2b7655c84e39f1d2317b71f245,0,0,2023-08-15 12-00
0x616bed91b7774793a93e316c657d83309d5fe185,71388.07177625188,34727.94111277792,2023-08-15 12-00
0xb2e5fb92d905f3c9cf50800b6212600c7e220d6b,69299.04436374146,33711.69821449622,2023-08-15 12-00
