Address,Locked Celo Balance,Locked Celo in USD,Snapshot Date
0x12f171272d878958c13c6f5040e68f662c3047c0,226295.72512662734,88860.67386409838,2023-06-15 12-00
0x26f5ce98b6e6515e943b53020857ac617662740e,221617.42555258953,87023.6225788631,2023-06-15 12-00
0xc883f1d13bd8ccad5a3c95bdcf1f69ea9452a26f,215295.09579630924,84541.00174181572,2023-06-15 12-00
0x49848b562143d5c7f887220ed0cdcbbd496e6a81,208894.65190118187,82027.70743529659,2023-06-15 12-00
0x5f2b5b9736dde361f53338ede72ab9ff822a22db,208698.40042376795,81950.64438640307,2023-06-15 12-00
0xd065c281f14de881b4f5e25ab75aaba7f53f76b5,0,0,2023-06-15 12-00
0x0222bffd588171faf8ec3f13267581ebdd56b41b,181636.11649917538,71323.9620463137,2023-06-15 12-00
0x14d2fe88de6520d5ea5c9c827d347e39ecf1117e,174297.07088997398,68442.10231172053,2023-06-15 12-00
0x2879bfd5e7c4ef331384e908aaa3bd3014b703fa,157496.6966947897,61845.01537462654,2023-06-15 12-00
0xcb5e94aed0a4988106342ba680c8a219a431ee5e,155831.73005086588,61191.22459772376,2023-06-15 12-00
0xa87e3632e0a46b636cf1d59fe39d5c6de39d0a3c,152729.5285964519,59973.06764161176,2023-06-15 12-00
0x660c153e141e54a9fbf950796347d62a90f752f6,135078.38593733156,53041.90519794167,2023-06-15 12-00
0xff5a484c3490f02715ebed886dd464390a4397a7,0,0,2023-06-15 12-00
0xf505be37703fcd9a1c7f8e8f5921699963cb1450,0,0,2023-06-15 12-00
0x76c429f745abd6b0bd9b3bdee451038a0109ff73,115377.58298710336,45305.89239946081,2023-06-15 12-00
0xabd5dcb303185694bb92772f35670af6a92112b1,0,0,2023-06-15 12-00
0x6b18116fbeb586197f707545bb3e078fd35808e6,0,0,2023-06-15 12-00
0xdfb94147574868d6f0ec97260f74ddac132cc07e,43425.8459495344,17052.24405823342,2023-06-15 12-00
0xec15d94bfc46e788dc3f232f21264d648fb02346,113922.37286759878,44734.46776578435,2023-06-15 12-00
0xf044c32774b6dd6cbf5e25befe59e4affe2d7759,112638.57090560821,44230.350830359705,2023-06-15 12-00
0xf1d7bd98029f5cdcdc60d695a44ad42827f18eda,0,0,2023-06-15 12-00
0x91453ac562951b28564341b3187365a7a511d597,104497.23591639039,41033.45211346859,2023-06-15 12-00
0x7dfbd308340880e9ebef746120f024284081ed39,104739.13699967571,41128.44062134766,2023-06-15 12-00
0x32d613eccdba32b5813845d0768bf1b2f351729b,104090.798257477,40873.85420575478,2023-06-15 12-00
0x5303e21dd05cc44eccf146f74c69d8199d2a7011,15.714254089551101,6.170594724614479,2023-06-15 12-00
0x762bfff5b40353273b4f105065c7e1fa7820dfa5,102920.86102984565,40414.44910489464,2023-06-15 12-00
0x6d55e81ad355f2cd59de9d70249d350365ba9e3d,102445.35078559628,40227.72811973402,2023-06-15 12-00
0x24ca142a6de916209076966454cc3c4af9b142ad,102869.32348811478,40394.21160069547,2023-06-15 12-00
0x816fbb2a8c2a81056c0e14cdbcc55d6a86565a40,0,0,2023-06-15 12-00
0x00d9651368bc7bf25710262d7b82dd5095495cee,67490.20304241416,26501.715479679977,2023-06-15 12-00
0x800fd4dd74c5b3047d62757fd8f7a8577d19625f,128034.96256852138,50276.12892659413,2023-06-15 12-00
0xb89450ec3ae6257600a9bff818d676f1ac569e40,97062.30658607381,38113.94123868654,2023-06-15 12-00
0xcce4651959cb9f208751433db69c2e7f47b23af1,0,0,2023-06-15 12-00
0xf1dd2882f6fdb1792a4b71d2320c9ff167c39736,42569.63048642127,16716.029651255474,2023-06-15 12-00
0x351aebcded9240ae77dd0a3987e2110b15e0f038,91294.27600999709,35848.97983222561,2023-06-15 12-00
0x38777e54f9d386514a6692dddba8a490676ed60a,0,0,2023-06-15 12-00
0x9b79f678580902536bdf346da1aebf9bb268b867,84183.68084596375,33056.82687618882,2023-06-15 12-00
0xe004118f8208fc028ba658aa1d2aa6c4cda3dcbf,95840.49642477704,37634.16693359932,2023-06-15 12-00
0x8d7ab081c7cd2ed14ee81e29ac01ab25676a48ec,82628.05887172624,32445.973017455104,2023-06-15 12-00
0xcff6304a82638e75a1aaf86a994ae20033c1878b,82443.20782011599,32373.386630764046,2023-06-15 12-00
0xc7838a9fbcc69ba447e237fce8e27e2b91dc1212,82190.67528672653,32274.22341821534,2023-06-15 12-00
0xeb542d863b1798c10524a050b110290347b36bd1,0,0,2023-06-15 12-00
0xa3415d81a7e8a6cd0643b74e5722c83fc0b648bd,80049.6133521574,31433.481923058403,2023-06-15 12-00
0xb6a1bca0c67e9c9b358c40e45d27b598d5be0ef9,0,0,2023-06-15 12-00
0x4872bdfd6b264c48c9c93af100d50011b0b384f9,78074.7049492996,30657.98476596622,2023-06-15 12-00
0x2e5ef3dac8e3156533ed29ded8ce8b9f8920f2ca,77140.13465065359,30291.002373945397,2023-06-15 12-00
