Address,Locked Celo Balance,Snapshot Date
0x244d46d45050e451d0e759b1cfd0b2c08818ca38,3382108382245288012515728,2023-02-15 12-00
0x0574619967528f41900698e93c21d90fd564e8aa,2916673452222560117467958,2023-02-15 12-00
0x70c657b8fe399e20899789321e3be8413cd71987,2279457554429087791749696,2023-02-15 12-00
0x4f369ee454c77ccf765792382b909ed888c57a47,2015552069362862915206388,2023-02-15 12-00
0x1901e33fc0c9da7515d98d0cc152b6f40565189f,1884923516833974587739678,2023-02-15 12-00
0x1c810f2aa829c874974ec449a965c6e5dbb301b8,1629343888329666502752331,2023-02-15 12-00
0x7dc2f3edebfb21e7a784ef8954b66fbcd9dee407,1599998372769736558068097,2023-02-15 12-00
0x41692e7f519764558325185db73f44d4e37a606d,1486486939324915282585945,2023-02-15 12-00
0x4aad04d41fd7fd495503731c5a2579e19054c432,1321393113898605391605399,2023-02-15 12-00
0x9033ff75af27222c8f36a148800c7331581933f3,1264235307484176148749844,2023-02-15 12-00
0x6d43609bf7c7b1b0e1f29d6b1922e23d3a37ec39,1191607689382953476175914,2023-02-15 12-00
0xaae9f9850a2f742fada295cb5816463fa59e8f5a,1161606547700599171016860,2023-02-15 12-00
0xf02d85c9b70b8141dc30be5011cb3c1aa4b4382e,1141425378768867890652417,2023-02-15 12-00
0x2f0d3b6bbfb7affbfbe206259578a8f3c24d1df5,1103634251464413007207240,2023-02-15 12-00
0x2d0078cbf9026856ea5a0fc54dd78e10da83c633,1092944012049321264766023,2023-02-15 12-00
0xa21112df21627887d6c19fe604c6b1ca1617ed5b,1087663165394631154278291,2023-02-15 12-00
0x28a62d2f5f319eae85421d2c783620f00eaa792e,1087658855655142590318816,2023-02-15 12-00
0x3c9e737a5c8196a9a2195497f47c460896d8d969,1087613739816719789580333,2023-02-15 12-00
0xd7aec34bef3596da90cf400b9fbb3521b23c6e16,1087580091437168218452426,2023-02-15 12-00
0xe570bee58d7a53a30f21a747d6e7ce0f85b38ac8,1087504834048286711900341,2023-02-15 12-00
0x2268c440b7557a7d199976835daee17b4a59a597,1087490558920859936845546,2023-02-15 12-00
0x0f4c32ebfd5ab18c28f17a2242d80f50e5f33b0d,1087415841583409679508404,2023-02-15 12-00
0x151d81ae1709e52a0356138e221a0bc60b283114,1086747934137385273765794,2023-02-15 12-00
0xebe9c48d7fe2238c8dcb44472accbe63380a9ae4,1082806069598342757497407,2023-02-15 12-00
0xf00eb5e591dd4f23df2ce92ab3ef0948281bb67d,1050814597463910149377327,2023-02-15 12-00
0xdcce2b585f3d15bc31925566121108dcfe819e48,1014212086895632752869471,2023-02-15 12-00
0x70a9f34b9c6e94cbb3eacdf262cee0831f10a78b,958542304257829483330382,2023-02-15 12-00
0x99fd11191c8de6e6f90935a848d6003007dbaf7a,929284780681341254295258,2023-02-15 12-00
0xdae1391ba9a9b67e6fe2c25f358c4ca3b3ffed93,928092218087577209536186,2023-02-15 12-00
0x893745c8970007f87f27b2a874c6e984437a83de,818651174157374321988446,2023-02-15 12-00
0x0ed27270c4914877bf2a6cb3abf4ca493117acb8,802868554332169882691694,2023-02-15 12-00
0xe3ebdd53c52d0619db96554bc51110d828228b4d,791958590728673241520331,2023-02-15 12-00
0x613629cdf3cef733016c7801eae9ccb5da652645,730521954323260499722785,2023-02-15 12-00
0xe153789c1d8341f17b4abf5039253683ba64d7df,697943521525779322446097,2023-02-15 12-00
0x4385bf4e4ae27700c4a055836e1f16e9a2a81176,684974584839175300282296,2023-02-15 12-00
0x3dbd15c29bcde617df3c4611b8c127108e5a667a,683270228174609620166829,2023-02-15 12-00
0x0a4dfffc51a8f8588e59c51fee29df42d2364bda,614175372981118236498566,2023-02-15 12-00
0xa22089ea702269b5bc4b49ab404df9532741a922,610878579499413035428869,2023-02-15 12-00
0xf62c998253dd5d75bd7fc4311d8df21ab15c70d5,591277591478126404790294,2023-02-15 12-00
0xcb063993fcb57986763166c56b9501e21327f6ce,571959101803899999334788,2023-02-15 12-00
0xa94d1fca8c5583396601dbb02d12615e6f4859bd,570555254477365643119669,2023-02-15 12-00
0xc47d659610c84d20786de89236fff261d6d69e85,565220728507090492955042,2023-02-15 12-00
0x119f742071d279a0daad1c496db1b502bb0436c7,555085844357758307858503,2023-02-15 12-00
0x4f49794a4fd42bab26a1740ca9c48022dd5ee21f,522044296992803399473597,2023-02-15 12-00
0x3f85428dccc693155e3fafacff3e66a59f6f9a5a,515767400595152987965854,2023-02-15 12-00
0xb411767ba120e06c2b6c3441e1fbbba82ef3cad4,505874169535451737982150,2023-02-15 12-00
0x43720c8db4c2e4ca7fa4f5709af36988bc1482ec,480031959632673457169781,2023-02-15 12-00
0xc4d0e41a6852cf3dfcc1fa6cc52877efbb2398f5,458439227616557083055468,2023-02-15 12-00
0x72e332dac7abea59bf1f9e5fda58151a506cb978,457586634391027066294752,2023-02-15 12-00
0x5dfe79c1aa3046d92f1d208677d9a862903e7c65,417857314342154112737591,2023-02-15 12-00
0xc86b2257a32dd69c1d45f273c6424ce3015601b1,416700503920710630839129,2023-02-15 12-00
0x67f09c27016f87ce5737782a684da673b526d12e,410989746247348427714591,2023-02-15 12-00
