Address,stCELO Balance,stCELO in USD (approximate),Contract,Snapshot Time
<a href=https://celoscan.io/address/0xfc13e46954de5bc8e1b23cceac4363c519c2fe36 target=_blank>0xfc13e46954de5bc8e1b23cceac4363c519c2fe36</a>,2599.984562328677,1991.7051740490713,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x4258658523ed894f1519230deecfc01cb593fc91 target=_blank>0x4258658523ed894f1519230deecfc01cb593fc91</a>,2550.010184176075,1953.4225515371616,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x2b0e72406854d7f2fad5dccf5453e76b03bbc15a target=_blank>0x2b0e72406854d7f2fad5dccf5453e76b03bbc15a</a>,2493.93459553545,1910.4661272369538,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xaee4720042b41d65fa8a2273274fb32aa25f2ae5 target=_blank>0xaee4720042b41d65fa8a2273274fb32aa25f2ae5</a>,2363.3530562690585,1810.4347919896309,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x7a0b072da2b94d66f83d9e75d1f26aaa17672dac target=_blank>0x7a0b072da2b94d66f83d9e75d1f26aaa17672dac</a>,2294.7055756048994,1757.847732664255,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xa3d85f0009b00b502e7c1ef39197d0bbbe3c33b3 target=_blank>0xa3d85f0009b00b502e7c1ef39197d0bbbe3c33b3</a>,2240.6273384584742,1716.4213694894217,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xbb4946437eccded9a99e41a71272cedf84fad828 target=_blank>0xbb4946437eccded9a99e41a71272cedf84fad828</a>,2235.635393061783,1712.5973146780134,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x1faf59040e9087675a7198e3c79d34de2f5796b1 target=_blank>0x1faf59040e9087675a7198e3c79d34de2f5796b1</a>,2122.914773259226,1626.2482474813637,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x27eaabaf44f17b4bce9f9455619c3014095ea639 target=_blank>0x27eaabaf44f17b4bce9f9455619c3014095ea639</a>,2076.0473229554573,1590.3456715134132,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x8744037f4c33fe344dfd2ce327e1caa23e4ce9cb target=_blank>0x8744037f4c33fe344dfd2ce327e1caa23e4ce9cb</a>,2050.0448903563115,1570.4266380330007,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x24bfbb1b10e6d0feca1ca127646362e943a1836d target=_blank>0x24bfbb1b10e6d0feca1ca127646362e943a1836d</a>,1890.4732641919377,1448.1875916679128,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x14255981cd91a61a4799099ec6050d18ff476c46 target=_blank>0x14255981cd91a61a4799099ec6050d18ff476c46</a>,1745.845481428625,1337.3962018209909,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x00275755e834b16fe7cc6083cec67e81425d0356 target=_blank>0x00275755e834b16fe7cc6083cec67e81425d0356</a>,1663.183028208183,1274.0730428437375,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xca4ad39f872e89ef23eabd5716363fc22513e147 target=_blank>0xca4ad39f872e89ef23eabd5716363fc22513e147</a>,1657.6838028585528,1269.86038876078,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x9c7e597ec0f992da2fd10814f1d1deafa83c7439 target=_blank>0x9c7e597ec0f992da2fd10814f1d1deafa83c7439</a>,1626.7549653460237,1246.1675074284947,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xbd5fff8b575c6071bdabe1dd0e40b74b3e002a8d target=_blank>0xbd5fff8b575c6071bdabe1dd0e40b74b3e002a8d</a>,1590.808480743564,1218.6308826312033,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x2205eacb52c2ddc1518881e06f4e8310056881ef target=_blank>0x2205eacb52c2ddc1518881e06f4e8310056881ef</a>,1546.174070221936,1184.438915623163,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x2403a37e26aad0ce33fc21f263345d1d1cdf37d3 target=_blank>0x2403a37e26aad0ce33fc21f263345d1d1cdf37d3</a>,1537.8659711514233,1178.074537870692,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xb3395e17d758eae046c10c897edc590bfc5bd0ef target=_blank>0xb3395e17d758eae046c10c897edc590bfc5bd0ef</a>,1432.727265586943,1097.5335581665497,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x2b91b4f5223a0a1f5c7e1d139dddd6b5b57c7a51 target=_blank>0x2b91b4f5223a0a1f5c7e1d139dddd6b5b57c7a51</a>,1412.7655134120225,1082.2419577217127,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xb5c46cf3db8da39fec83706d8b6cc8b5dafa696c target=_blank>0xb5c46cf3db8da39fec83706d8b6cc8b5dafa696c</a>,1379.1882663406884,1056.5202754889526,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xd283b37247d7f34ad7c926d9ff4342dbf9bd7904 target=_blank>0xd283b37247d7f34ad7c926d9ff4342dbf9bd7904</a>,1356.0629006495133,1038.8052047280564,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x6c2d17e78b3c68dbf218f687a1cca61d395637de target=_blank>0x6c2d17e78b3c68dbf218f687a1cca61d395637de</a>,1348.4290040420465,1032.9572964013894,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xeceb6b47276915ac7130ed51fc3ecf8c7f46f850 target=_blank>0xeceb6b47276915ac7130ed51fc3ecf8c7f46f850</a>,1344.153621356554,1029.6821608720813,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0x0493c30004aa8de603ecfc2f3601e5bda678125b target=_blank>0x0493c30004aa8de603ecfc2f3601e5bda678125b</a>,1316.7827066248287,1008.7148084964169,,2024-01-15 12:00:00.000
<a href=https://celoscan.io/address/0xbe1d7136dc7da1a6c01fb8a8732c0a8095380494 target=_blank>0xbe1d7136dc7da1a6c01fb8a8732c0a8095380494</a>,1312.2721066191602,1005.2594859150746,,2024-01-15 12:00:00.000
