Address,Average Locked Celo Balance,Average Locked Celo in USD
0x119f742071d279a0daad1c496db1b502bb0436c7,276252.4272783133,168918.2315387881
0xad60ae22da620346668b5a3e4acaf9041da2da1b,269614.78980338987,148470.7409446171
0x7e400c912c9f19ddbb81903881ec8c17734dff42,268536.0091377485,146012.53510648527
0x8053d7d0365287126f6e5dcbf87fbca0b1f1c52b,264470.8935959568,117924.55642826277
0x0c8615aba223094d2de13204a2784d6bc277def6,254837.74437075038,138561.58449068258
0xb411767ba120e06c2b6c3441e1fbbba82ef3cad4,252840.39456486888,158963.92914533825
0x70f926b869cc07f4b06951062de3bf1766aab3cb,238879.67463890088,130054.21669502906
0x0d630ca9f913bf2aca031fda3376f670d73cf283,238682.8365746731,129780.49009834253
0x9e6db6895535f70f6966e8bce37a0a3e20df0294,227609,123912.95710350001
0x89754202d38684811826124e558c70b674ef3014,223715.81541406093,126963.45709865016
0x1576aada4eb0a43a0cac6da3987b837b93a70bd2,223221.57272031065,120017.2625353388
0x26f5ce98b6e6515e943b53020857ac617662740e,220497.50019608857,119893.45998954606
0xe153789c1d8341f17b4abf5039253683ba64d7df,218381.42292660684,140460.121817531
0x12f171272d878958c13c6f5040e68f662c3047c0,216150.6219774706,118717.60459824157
0xc883f1d13bd8ccad5a3c95bdcf1f69ea9452a26f,214191.44929144625,116464.86820116975
0x5e05eb41bb50f613bd16eb22e8bccbefe229fc64,210479.89071790685,117013.05449492256
0x49848b562143d5c7f887220ed0cdcbbd496e6a81,208466.07769737637,113389.6027303121
0x5f2b5b9736dde361f53338ede72ab9ff822a22db,207616.416280351,112910.17296347523
0x52e6bd876ae54313f81f1a21ec53dc2a18e6fbf9,202685.49751900448,118960.7004520583
0xc4d0e41a6852cf3dfcc1fa6cc52877efbb2398f5,190320.99601026915,116294.2217285742
0x404ffc1183e4bd64593213d29d201e2a9fa12f2c,188999.3558963727,110927.99454145564
0xc06e78dcc04190e78cc4898234a7c84880ca0da8,183007.0906003804,104663.26953151221
0x0222bffd588171faf8ec3f13267581ebdd56b41b,180699.14297760095,98252.52130039151
0xb86f6b74ddc3841af575325de8a2b3b28ac0f752,179344.22446890632,99943.21393718712
0x14d2fe88de6520d5ea5c9c827d347e39ecf1117e,173398.74635204082,94283.25760211599
0x88d6af106fbc051ebc23eea5eb060d726f0c213f,172028.40271292647,78975.37832119402
0xd4e0e9a2c11741ae6711effa53a82bf3d84c4748,167841.20760502966,94679.64120434463
0x2879bfd5e7c4ef331384e908aaa3bd3014b703fa,157275.8577396058,85534.33218029498
0xd09e6f00039bd88f5794b9dfab61f4cc205f627d,155415.55764160535,91608.8345527465
0xcb5e94aed0a4988106342ba680c8a219a431ee5e,155026.7208532441,84293.49564193307
0xa87e3632e0a46b636cf1d59fe39d5c6de39d0a3c,152251.12629984415,82825.0339118936
