Address,Average Total cStables in USD,Contract,Beneficiary,Average cUSD in USD,Average cEUR in USD,Average cREAL in USD,Average cUSD Balance,Average cEUR Balance,Average cREAL Balance
0x5c1e76bc987acc7a71ee6119fca59609cc6b9cae,53892.77510575143,,,53892.77510575143,0,0,54432.446186941044,0,0
0x4819d7a8f074dd16ed5446b5c86849d848846e89,52366.31454107125,Gnosis Safe,,52366.31454107125,0,0,52343.7725,0,0
0x29b22526e641cd489375288c62a59093ba4e8963,52131.98254514372,,,52131.98254514372,0,0,52280.55388930045,0,0
0xa3a3648c7587f41a1278756e00dd05df1c8cb1d2,50326.20858268712,,,50326.20858268712,0,0,50564.11425361662,0,0
0x9c958c5b147a07d9b77d20bb5c8f617fa9ba5ed7,49777.555,Gnosis Safe,,49777.555,0,0,50000,0,0
0xe81ef36fcb902b5784994bf301ad6b47749c3892,49284.902980462844,,,385.87835952492406,48813.34788643599,85.67673450192228,387.2206269097005,45655.2941469805,429.0388315217617
0x93887e0fa9f6c375b2765a6fe885593f16f077f9,49260.51496866511,Pair,,49260.51496866511,0,0,49452.94536177336,0,0
0x999842883912c40027901c1ea35bafd8bd1a42f1,48318.348598819546,,,48318.348598819546,0,0,48633.198987238844,0,0
0xf799456acc63455c48016dacaea0f91b23f29d82,46894.92931258713,Gnosis Safe,,35053.66296348796,11841.266349099174,0,35035.023928929375,10918.757825,0
0x1cd7daa66a24d672d2241ca897730bee4a55ba42,46405.68108298217,,,21744.542803237793,24661.138279744373,0,21930.019728350013,23104.405000000006,0
0xd3cce1ec5a3981b27bd998f33a7eafdd27ad2df4,46396.15140739168,Gnosis Safe,,46396.15140739168,0,0,46587.388479899295,0,0
0xc5aede76095c8c086684e97a0af01e88a84fda0b,45906.25077416457,,,45906.25077416457,0,0,46075.47447303542,0,0
0xb5bbea2325a8f5a0130a1aaa372ba768f1c62c43,44563.279094596095,,,44563.279094596095,0,0,44727.5384985365,0,0
0xd1ba36fc49e1fecd8794339dc00f4050095f2ea9,44309.26353479628,,,44309.26353479628,0,0,44834.06116542463,0,0
0x36857bffc2b4c2860c305215c6741b7da4e8b883,44307.653198307264,,,44307.653198307264,0,0,44410.35604079017,0,0
0x2478709280e8539da2527534f74f46ce053ae093,43681.82329330424,,,43681.82329330424,0,0,43837.07435816349,0,0
0xf4fa51472ca8d72af678975d9f8795a504e7ada5,42392.578599865104,unverified,,41891.749551584566,495.60377372857977,5.225274551968244,42046.51625519616,463.83224929292845,26.558576952696598
0x07eeb63b2fcebb865165abbdb0fbc0f2fd0d9926,42199.86279048409,,,42199.86279048409,0,0,42440.38472082882,0,0
