Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,cUSD Balance,cEUR Balance,cREAL Balance
0xf9979714c5beab995d50a062f4498a4290edef79,328871.31078135624,306520.9599631929,21521.07441327728,829.2764048860748,307052.4677849286,19378.40425482165,3973.2195413588597
0xf89d7b9c864f589bbf53a82105107622b35eaa40,328650.0459787827,328650.0459787827,0,0,329219.92567011766,,
0x573dee1fe5bbd090c61faa82873d5174f25c9686,326485.3147984984,326485.3147984984,0,0,327051.44084259693,,
0x2de97fafc45bc2ab0a08a1d78069674a18810dcf,322082.2720405645,322082.2720405645,0,0,322640.7632016666,,
0xaf106f8d4756490e7069027315f4886cc94a8f73,320328.0295363483,251382.76945515763,68945.26008119069,0,251818.6675687191,62080.96750424618,
0xe273ad7ee11dcfaa87383ad5977ee1504ac07568,320154.74211454863,0,320154.74211454863,0,,288279.66009756125,
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,289138.9066734193,289138.9066734193,0,0,289640.273987692,,
0x2962518b087b3ae071ca4d737c7d874af04b2142,263355.21948608634,9820.514062521737,25947.575163717614,227587.130259847,9837.542849193693,23364.196010803113,1.0904128321779924e+06
0x3dc674fab7eb6e6b3925d02a3d3f566cdae3354f,218408.1967504683,218408.1967504683,0,0,218786.9169036285,,
0x470787a48c0325d7ccefd6207fa32128c6d4f1ef,212227.2433502337,206953.53511973371,5273.708230499999,0,207312.3928717948,4748.65,
0xbbbd1bbb4f9b936c3604906d7592a644071de884,204143.3256954326,195162.91996411645,8980.405731316154,0,195501.3327711433,8086.303187837015,
0x044ff4731885e0b9dc39d49962d47fa318ded59b,203831.9973807564,1305.5148804658036,202526.4825002906,0,1307.7786453008193,182362.64485830753,
0x5b95c32d4861538de7cbc10d52f2cb30d3a13403,189812.47347787346,187122.2426768528,2690.2308010206566,0,187446.71293694666,2422.387423593881,
0xbf120a30a122fe06a2935dbb5c53f127ac270d2e,157060.78635197,157060.78635197,0,0,157333.13,,
0x5472895f8de2424aae41cfeba18d39145fa8e685,149742.51147242662,149742.51147242662,0,0,150002.16522042317,,
0xa6314811afbce6d29d7eb4394d8fa583d0fd0363,149740.35,149740.35,0,0,150000,,
0xa5f0b4269b3b11f137dabdf654f85d294dc0dce7,144749.46420373998,144749.46420373998,0,0,145000.46,,
0xff639206d4c7f3bfad4aaa75fefc8bd453fe2787,143003.64834665682,143003.64834665682,0,0,143251.61689550293,,
0xa3415d81a7e8a6cd0643b74e5722c83fc0b648bd,139591.78918020747,139591.78918020747,0,0,139833.84155994776,,
0x424512429f16bd8c17ab3137341d2cb069bd18db,138860.216169,138860.216169,0,0,139101,,
0x796dff6d74f3e27060b71255fe517bfb23c93eed,128600.59555575499,199.54245342513414,128401.05310232985,0,199.88846035,115617.25339449999,
0xddccf2341e4503af58788e7f71f82f69a0c65402,125916.3608343,125916.3608343,0,0,126134.7,,
