Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,cUSD Balance,cEUR Balance,cREAL Balance
0xa228228fba1dbb76cbfced5abe2644d4ff00adc5,118265.49108256995,118265.49108256995,0,0,118542.04968448385,,
0x74645efa0029302479c9fd0c497ee56e747d7299,118164.56210189874,63807.41210189874,54357.149999999994,0,63956.62290313175,49999.99999999999,
0xab9952041329fda60288d17116b8cb959c920713,109215.604157,109215.604157,0,0,109471,,
0xdc4690982cff5fa3a098cd336aead7767ab82452,108792.30906302942,108792.30906302942,0,0,109046.7150492393,,
0xc2fd7bd1c2a86b57f8da0837d32aa9ca86cc1d6b,108227.92375760517,54297.243251295185,53930.68050630999,0,54424.21494476131,49607.715366156976,
0xf93b6e547cb0dc2b7655c84e39f1d2317b71f245,99766.69999999998,99766.69999999998,0,0,99999.99999999999,,
0x8db03959b359e756468fa75e747771810b4fc4e6,96656.59240906566,96656.59240906566,0,0,96882.61956050032,,
0x999842883912c40027901c1ea35bafd8bd1a42f1,92906.66566247858,92906.66566247858,0,0,93123.9237766495,,
0xac19b8ab514623144cbc92c9c4acb3583e594be3,91568.22290396245,91568.22290396245,0,0,91782.35112914676,,
0x5d7083a4124fb2979c4505cd75ae606d5a4435d3,89689.06637040444,89689.06637040444,0,0,89898.8002714377,,
0x1e593f1fe7b61c53874b54ec0c59fd0d5eb8621e,84889.00305263214,84889.00305263214,0,0,85087.51221863822,,
0xff639206d4c7f3bfad4aaa75fefc8bd453fe2787,82658.32407328574,82658.32407328574,0,0,82851.61689550294,,
0x9c958c5b147a07d9b77d20bb5c8f617fa9ba5ed7,79813.36,79813.36,0,0,80000,,
0x1bc5b032f9a2377ea2e1dd308a43413663050c5d,77458.55247959099,77458.55247959099,0,0,77639.68586671805,,
0x079e7a44f42e9cd2442c3b9536244be634e8f888,74433.15273076706,74433.15273076706,0,0,74607.21135485795,,
0x12b73856075fcfd404a66d174adf2bc86f538347,74324.9578903398,74324.9578903398,0,0,74498.76350559837,,
0xdc553892cdeeed9f575aa0fba099e5847fd88d20,72206.99714195,72206.99714195,0,0,72375.85,,
0x45d8175279d9cb398f1666c14476c7a41d6c46dc,70405.89444507912,69028.34349962014,0,1377.5509454589746,69189.76321720588,,6765.183637538719
0x924531e9baf2862f0deeda90dac18eb53cde859a,69836.69,69836.69,0,0,70000,,
0x9ef2923c36c8b24a1c86851ec686d6dcbaeb2467,66842.69120630914,66842.69120630914,0,0,66998.99987301289,,
0x1c4e483b6d83937c91e6574ae559363b21c0e4e7,66626.4151984147,60320.98579841471,6305.4294,0,60462.04374647524,5800,
0xd1d8042ad72c1e22320708e1553f2dd09ca96fba,63071.54190818593,24572.6832979766,38498.85861020933,0,24630.145427258394,35412.87448864531,
0xe971f568c6cfb436c88ea943e5dde716d89a3b21,61854.508779055075,6797.253272870958,47799.76975560129,7257.4857505828295,6813.148347966765,43968.2449830439,35641.67554845294
0x9be5da31c7a42d7e045189ac1822d1fa5838e635,60979.45250576845,60979.45250576845,0,0,61122.05024899937,,
0x1d658605710644b243ab3be33b83d00eafa2fd5e,60595.42194282697,60595.42194282697,0,0,60737.1216476309,,
0xda2069f47d252121c2288301d6ef50b87220a693,60401.31684668671,60401.31684668671,0,0,60542.56264533828,,
0xaaa6d28f04c9efdb39f77497cefeaf0b36cd9217,60242.07625919159,60242.07625919159,0,0,60382.94968079689,,
0xbfa290a08331f73f64a4ab1f298d5b8e3323099e,59860.9179003,59860.9179003,0,0,60000.9,,
0xa3a3648c7587f41a1278756e00dd05df1c8cb1d2,59541.29395532606,59541.29395532606,0,0,59680.52862861662,,
0x29b22526e641cd489375288c62a59093ba4e8963,58094.622747727735,58094.622747727735,0,0,58230.474444607,,
0x044ff4731885e0b9dc39d49962d47fa318ded59b,55724.713154735786,1231.1900057095065,54493.52314902628,0,1234.069088893896,50125.44177631303,
0xdc55d1fd1c04e005051a40bd59c5f95623257bc5,53955.87319424471,53955.87319424471,0,0,54082.04660898347,,
0x93887e0fa9f6c375b2765a6fe885593f16f077f9,52841.93750014886,52841.93750014886,0,0,52965.50602570683,,
0xe1c9e12d71caafdbd9912773f5a207a2179bd8b6,52467.47030046242,52467.47030046242,0,0,52590.16315109392,,
0x9e240434e845d7bb2ce7218ed487687a6bc2e111,52379.45483475054,5183.889694335943,2267.2242318739827,44928.34090854062,5196.0119903093355,2085.4885069158177,220644.0914422591
0x0af30f6417c1e7531c39d740b56d6abb8cc39cbb,51878.684,51878.684,0,0,52000,,
0xbc6c0f970dd00eff12d4b07d6aaef97a382ec3ab,50182.6501,50182.6501,0,0,50300,,
0xe81ef36fcb902b5784994bf301ad6b47749c3892,50115.28996141758,394.0940916080915,49633.83344483081,87.36242497867215,395.015663150221,45655.29414698049,429.03883152176184
0x9f67e932b35658657a81c1511a0f5221ae59098f,49883.34999999999,49883.34999999999,0,0,49999.99999999999,,
0x5776b4893faca32a9224f18950406c9599f3b013,49522.18792763202,49522.18792763202,0,0,49637.99336615526,,
0x51514b3dc24afc1db95586242b99f0063bea17c5,49362.90790672926,49362.90790672926,0,0,49478.34087599296,,
0xcf5b7f0288fe863ce2941a0c24fcdc3d8a4443fc,49266.820101016165,49266.820101016165,0,0,49382.028373210866,,
0xdb79ac912b73edfcf8a008603b7daea2dca842ed,48046.68059774699,0,48046.68059774699,0,,44195.363993280545,
0x420eb07d9894566a68841e13968b54eddbd74d1c,47685.383704044645,47685.383704044645,0,0,47796.89385741399,,
0xafadc4302f07e9460eb4c31ec741c0f3e308ff3a,46365.195917177545,46365.195917177545,0,0,46473.61887000126,,
0xc5aede76095c8c086684e97a0af01e88a84fda0b,45967.98039108981,45967.98039108981,0,0,46075.47447303541,,
0xc0ba93d4aaf90d39924402162ee4a213300d1d60,45540.48360229932,45540.48360229932,0,0,45646.978001977935,,
0xea3fb6e3313a2a90757e4ca3d6749efd0107b0b6,44949.09672072806,44949.09672072806,0,0,45054.20818843167,,
0x2e6fb6b3c8184c0c0024c6059718c59f0c67beb0,44870.0606199726,44870.0606199726,0,0,44974.98726526246,,
0x7088fc3f9defaf866ca2f67e87521822f1fa45b5,44702.68918409653,44702.68918409653,0,0,44807.22443871205,,
0xb5bbea2325a8f5a0130a1aaa372ba768f1c62c43,44625.48358045968,44625.48358045968,0,0,44729.83829319771,,
0x0e6a17932a267488ed8c1d1257a52fbdeea3387b,44361.4342281,0,0,44361.4342281,,,217860
0xdc81e2ec0f63e08a6d246ab1d55f84e0d7bda862,44331.459223077225,44331.459223077225,0,0,44435.126372905215,,
0x07eeb63b2fcebb865165abbdb0fbc0f2fd0d9926,44296.40619119413,44296.40619119413,0,0,44399.991371062824,,
0x843809614e958ac8a4bc18b3d9d9a46468b51eef,43805.04705447789,25869.86084364634,17935.186210831547,0,25930.356365045995,16497.54099583178,
0xbe55435bda8f0a2a20d2ce98cc21b0af5bfb7c83,42471.79407759254,0,42471.79407759254,0,,39067.3481571353,
0xf4fa51472ca8d72af678975d9f8795a504e7ada5,42471.01578296485,41951.782674551585,515.6537071225856,3.5794012906829877,42049.88505638814,474.320036207367,17.578520143837896
0x6f634f531ed0043b94527f68ec7861b4b1ab110d,41049.99592563748,41049.99592563748,0,0,41145.98951918574,,
0x5237eb109c66125c63907b91ac1473df8a4768b6,40622.793214528625,0,0,40622.793214528625,,,199499.45000000185
0xbceded13006d981822f07db160d703157deb112d,40398.162490032504,40398.162490032504,0,0,40492.631800021954,,
0x64b6399dca42582c17f579206e6405924dbf60eb,39608.46903369797,39608.46903369797,0,0,39701.09168058878,,
0x69a63e9044b4c43be465e6caa16e35c2a74ba932,39441.26834450001,39441.26834450001,0,0,39533.50000000001,,
0x7810c063954727ff60a5b4227e54cf339d27d756,38909.013,38909.013,0,0,39000,,
0x8348b82948ac2fdcf73d972e186a1c6abb3392bb,38121.995938927954,38121.995938927954,0,0,38211.14253446085,,
0xd6821faa243cf1afaf04dd855e5cc59edfcdc734,37454.88653350704,37454.88653350704,0,0,37542.4731233037,,
0x69ef304b255449855ecae5466d721d45387ad2d5,37185.901975693036,37185.901975693036,0,0,37272.859557039614,,
0x97ba7f0ffd7e17ffea897a0a3e07e3bf37fbf487,36965.278300615035,36965.278300615035,0,0,37051.71996328939,,
0x661dfc40cce85b08f62a59bdeedfc6f0e35ea5a8,36122.26967558,36122.26967558,0,0,36206.74,,
0xf775a1c012ea91b93128a4b705fa71dcae7e979f,35488.397948953134,0,35488.397948953134,0,,32643.72575544628,
0x36857bffc2b4c2860c305215c6741b7da4e8b883,34371.13974233476,34371.13974233476,0,0,34451.515127126346,,
0xdc249e6beb254326c68363bf5b6f4fc32e91f57b,34172.37801937974,34172.37801937974,0,0,34252.28860870385,,
0x3a469fc66fc96d8d7e2495784e58a89502a99154,33775.067064175775,33775.067064175775,0,0,33854.04855946501,,
0x7e8603a3bf17bf5293d4baef067fc6b5c2b7fa5b,32626.33704715398,30465.49889144357,2160.838155710406,0,30536.741108449583,1987.6301054326857,
0xa5037661989789d0310ac2b796fa78f1b01f195d,31842.988634109348,31842.988634109348,0,0,31917.452049741394,,
0x3420720e561f3082f1e514a4545f0f2e0c955a5d,31774.856848098596,31774.856848098596,0,0,31849.160940572954,,
0xc67b409595ffeb46f73f87d353b88be9efea3f82,30730.507888313314,30730.507888313314,0,0,30802.3698170966,,
0x580f313eb1b5081519ae04f13cc1d5398d480eca,29939.265226304695,29939.265226304695,0,0,30009.276869240635,,
0x10a5e0d2175034e9311dbc7cb7aaade9f29195ad,29931.004667692345,29931.004667692345,0,0,30000.996993678596,,
0x9e044e8e921c6e8b5fd30810914ec44bada7fda6,29898.084656,29898.084656,0,0,29968,,
0x69d174b5934ea2e20b0a31dd848c79ae5300a095,28161.288462636407,28161.288462636407,0,0,28227.14238582253,,
0xfdbdc0c0083f8cd8ed042500533293f10ce31d04,27719.28267748774,27719.28267748774,0,0,27784.102989762858,,
0xc574bc344bb8d38aa08553f1b24d7cab8c9818b2,27589.992028169996,27589.992028169996,0,0,27654.51,,
0x1cd7daa66a24d672d2241ca897730bee4a55ba42,27328.355487864883,650.3772250748843,26677.97826279,0,651.8981033499999,24539.53,
0xf3f65dfe0c8c8f2986da0fec159abe6fd4e700b4,26755.409940646077,26755.409940646077,0,0,26817.976279305698,,
0x3066505c7d215161b4a8377818bad04f33bca6f7,26599.84447939073,26599.84447939073,0,0,26662.047035123673,,
0xd645e14fbe1327c17d54a02470041d714cf47c93,25956.800832997174,15772.6360555564,9860.836889743918,323.3278876968586,15809.519664934694,9070.413818369725,1587.8705195022405
0x6d6db016885dbd3c58aeb1b82a50bd96d597bc62,25886.94092664187,25886.94092664187,0,0,25947.47638905754,,
0x34193333dbb2af6c127b143394541335abf86d03,25400.222143772527,0,25400.222143772527,0,,23364.196010803113,
0x1662a383d9dfbf6f198a3b2b003d0b5638ed7095,24941.67590701651,24941.67590701651,0,0,25000.00090913753,,
0x0dd79c9ccba6acf7f99c3bbcedaa045886e9e440,24840.606012499695,24442.8415,397.76451249969756,0,24500,365.88058102724074,
0xf23102909b67e197b8376f99cfc8207ededdb3d6,24827.941061766698,24827.941061766698,0,0,24886.000099999997,,
0x75ce9d9c53f08b96d88f8fd6494d0b664be16878,24512.29930004852,24512.29930004852,0,0,24569.620224031183,,
0x15689276dc6e7d2702f7e1900c42f885284ffc46,24441.18884734427,24441.18884734427,0,0,24498.343482689386,,
0x7f92b3688cb8c69b14d4d7b14471406a3e699b06,23816.156224905553,0,23816.156224905553,0,,21907.105343920306,
0xb048b49011f971b7c9e6bae8c8d1cbc26d5d2941,23777.484092088383,23777.484092088383,0,0,23833.086683320573,,
0xb89a23a4b71d6bbb6ded588b2f0e81b847755e45,23339.489018630946,316.1251235606709,23023.363895070273,0,316.86436813152176,21177.861509544076,
