Address,Average Total cStables in USD,Average cUSD in USD,Average cEUR in USD,Average cREAL in USD,Average cUSD Balance,Average cEUR Balance,Average cREAL Balance
0x2af540161cbeb58fdc99b159c76e390598860510,1953.7565854855713,1953.7565854855713,0,0,1962.4005090333476,0,0
0x21fb4411fa5828344c2788ab07d4cc12a12571b9,1904.596922437331,1904.596922437331,0,0,1912.7503801748262,0,0
0x061e9958028dcaa66fd8b255ad95194203b6c4da,1807.3853134844394,1807.3853134844394,0,0,1818.1386492765262,0,0
0x0f66619058bb9675f3d394fcc2ce236a29901571,1768.6837667079333,1768.6837667079333,0,0,1775.7629790515446,0,0
0x8851f4852ce427191dc8d9065d720619889e3260,1681.6508432670498,1681.6508432670498,0,0,1686.4041776732595,0,0
0x6cf4bb9ff947610944c6d8e0e5ea26b1dea73196,1577.4153269719209,1577.4153269719209,0,0,1587.5534664385211,0,0
0x3d451dd723797b3de938c5b22412032b6452591a,1367.8841658377203,1367.8841658377203,0,0,1381.4109718036118,0,0
0x95ae59515915d6c493a846ae022f93726652b50a,1351.6163155207967,1351.6163155207967,0,0,1360.3635066860309,0,0
0x81ae1c73a326325216e25ff1af9ea3871195036e,1314.828160332835,1314.828160332835,0,0,1319.3673673294713,0,0
0xb87f2354e34b26ba6406ac60ea99dcd8cd5e63bf,1019.0155417502291,1019.0155417502291,0,0,1025.2667354930736,0,0
0xd25c6a9fef4744e8d4f90bf6bdfaf7686909d799,976.0022372513857,976.0022372513857,0,0,982.7994560885796,0,0
0x7e11e85faa97652623929c9677e442e219ce0bbd,700.8639168075246,700.8639168075246,0,0,703.8079627664778,0,0
0x71dcc67baeecd9308e341359f70b782d9c3565b8,616.2506736960717,616.2506736960717,0,0,619.1818107381642,0,0
0xb434feb47d6154b4b4058df5c9fced123db9abf6,525.5974349473466,525.5974349473466,0,0,528.3214974075304,0,0
0xc64df5be250264bf2888591d87cdeb13bfadc501,376.7469234001951,376.7469234001951,0,0,379.210669566618,0,0
0x8eb004dad9397b8f23e1279905c584920000756d,339.71611926097347,339.71611926097347,0,0,341.30294175062653,0,0
0xbb59448319755708d06dacaac017308129fffdbb,321.3412403341605,321.3412403341605,0,0,323.2293522725252,0,0
0xee6c0fa803099837690d440b3108d03763ab7550,296.71519701439985,296.71519701439985,0,0,296.8427427254246,0,0
0x8493bd3de67ac341d4cc11531f96a1a2cdbf29ad,284.6321382440272,284.31329370708994,0.31884453693729214,0,284.65642984522555,0.2998370892693601,0
0x4d5a51039ea45063d4b665b21755db20a738dadc,221.6697380414896,221.6697380414896,0,0,222.79317261439778,0,0
0x580f29ab04b7ed4e5aa86584d38c9317d9cf0358,215.77965613113736,215.77965613113736,0,0,216.81469383577226,0,0
0x07fa1874ad4655ad0c763a7876503509be11e29e,204.37616471843685,200.01625512677018,4.359909591666667,0,200.84121450836085,4.1000000000000005,0
0xc7d5409fee80b3ac37dbc111664dc511a5982469,189.08627094240367,189.08627094240367,0,0,190.05972141481348,0,0
0xe92b7ba8497486e94bb59c51f595b590c4a5f894,65.48869509989069,65.48869509989069,0,0,66.13125877905736,0,0
