Address,Average Locked Celo Balance,Average Locked Celo in USD,Contract,Beneficiary
0xec15d94bfc46e788dc3f232f21264d648fb02346,113473.0381671226,65281.096491121716,,
0xa2d3f9671626f7e399b24cfc953b972439ff96d9,107059.78572166615,60257.697933101656,,
0x7dfbd308340880e9ebef746120f024284081ed39,104870.79123010681,60363.46320825848,,
0x91453ac562951b28564341b3187365a7a511d597,104515.0168547396,60154.11836335189,,
0x762bfff5b40353273b4f105065c7e1fa7820dfa5,103068.35420814816,59329.3168688921,Contract,0x6C7C3bC5E6B2f1a0902Bf3aD8954c7168D0B7b64
0x24ca142a6de916209076966454cc3c4af9b142ad,103016.35509154476,59299.46725657645,,
0x6d55e81ad355f2cd59de9d70249d350365ba9e3d,102730.85400797513,59140.786470237115,,
0x8223a32ed93cf9c89ccdb159c13c8fb485a61665,98856.28039098805,60803.20789682863,Contract,self-destructed; look up manually
0x32d613eccdba32b5813845d0768bf1b2f351729b,97993.2079212545,56133.29861169211,,
0xb89450ec3ae6257600a9bff818d676f1ac569e40,97205.48449813519,55957.79533716997,,
0x660c153e141e54a9fbf950796347d62a90f752f6,94582.50971453218,48939.9393078015,Contract,0x4FA659aCe482C7F854248f4F1253636AbCe738AB
0x6d70cd504b902c5dcbaffba2e12a3c34611983d9,94374.5999152249,55227.22989846667,,
0xe004118f8208fc028ba658aa1d2aa6c4cda3dcbf,93017.09259159374,53458.28707910957,,
0x351aebcded9240ae77dd0a3987e2110b15e0f038,91420.68175712724,52623.71016516236,,
0xf1d7bd98029f5cdcdc60d695a44ad42827f18eda,89858.23711073105,53365.86607803194,,
0xa3415d81a7e8a6cd0643b74e5722c83fc0b648bd,87408.16305896913,51009.77738158905,,
0x8d7ab081c7cd2ed14ee81e29ac01ab25676a48ec,82896.62569648407,47719.31735016116,Contract,0x22e67f5e69D7bDf087BA157E4B42Ad9FE2760728
0xcff6304a82638e75a1aaf86a994ae20033c1878b,82461.63468268856,47467.379064238514,,
0xc7838a9fbcc69ba447e237fce8e27e2b91dc1212,82308.15080192026,47379.17090048968,Contract,0x4D23b90D63e690Fca2d9601EB157f05C33ad8Ee9
0x4872bdfd6b264c48c9c93af100d50011b0b384f9,78185.03361383542,45005.85387367412,,
0xf044c32774b6dd6cbf5e25befe59e4affe2d7759,76879.8808647183,42689.29433979502,Contract,0xec15d94BFc46e788dc3F232f21264D648Fb02346
0xdfa0022c44b2959330f5953fe32691558a46d475,75776.03682128704,43608.761178774424,,
0x2cfbf53ad7bd6de83aba252f1342014ef0c6b389,75000.02483229751,57307.818974457856,,
0x2cf21fcccb2bcd7200c404eaae02a3bbbbdffe75,72417.44539434621,41680.20742777623,,
0xa649f5cfa38432d70f47484bf80d808eb257a154,71370.01665019913,43610.11509545932,Contract,self-destructed; look up manually
0x616bed91b7774793a93e316c657d83309d5fe185,71008.76642110411,40872.534754878405,,
0x4aa017d8f14c0d0fb08b9459953465d8abd233b4,70765.41922267766,40736.04083038335,,
0xb2e5fb92d905f3c9cf50800b6212600c7e220d6b,69289.10627186358,39873.235505962984,Contract,0x5Fd8A628917Dc25821F7C82822D24d1Acf026BaB
0x00d9651368bc7bf25710262d7b82dd5095495cee,68751.5266082495,39180.127169001,Contract,0xA3415d81a7e8a6Cd0643B74E5722C83fc0b648BD
0x2e88b48f5acd78e1c07562202c53729a95125179,68399.66428034384,39365.36414473672,Contract,0x11259374BD91b410fe112F120Bb0f2866f894C91
0x2e5ef3dac8e3156533ed29ded8ce8b9f8920f2ca,67371.2458488181,36909.67701559546,,
0xb4d83b173a0288a3f8c4646ed8ce473d1f9ba978,63601.03783753607,36610.82270473763,Contract,0x613800B25Da0A6F96dA633EfA10Fec6af40BabB3
0x6b5fd8d5c972ee08a907bcebf3fd837735d05576,63541.451512134656,36576.46613521499,Contract,0x7b768148C6232498FA67C7B38c63D2cb011713DD
0x56e73576aa23b24dbf762d3a42f0b0cdd56d9884,63327.869391660344,35780.68832017395,,
0x9b79f678580902536bdf346da1aebf9bb268b867,62811.59144369239,34152.97622295904,,
0x69538060181e15b80db6e2a955f448a8723ac49a,61368.38766513827,35372.739230438674,,
0xcd37c8b0f8a71a6e3febd14ad86971b1bc5e3876,59568.43940625001,33528.86653829079,Contract,self-destructed; look up manually
0x522f1158d367aeaa43b8f8f0564f1f72acb2048e,59175.02907466782,30745.352849614974,,
0x47b2db6af05a55d42ed0f3731735f9479abf0673,58220.8914857345,33511.781186401204,Contract,0xe94465d3b1c4DE36EBe3818bC1ee2c63e4Cbf3AE
0x067e453918f2c44d937b05a7ee9dbfb804c54add,58212.17002050342,33508.711108931166,Contract,0xbb161C8a7128c20CeE5E5E36038213e57d9bbc64
0x35ae10f412503abcf9275133613e8df7f56e72be,58164.12926198859,33481.10963170414,Contract,0x44349d73fcC370cD22438A030575f518251e1f2E
