Address,Average Total stCELO,Average Total stCELO in USD,Contract
0x886314e249c06b65bc28c52d678a2d1e74c606f5,353.395516259102,166.5578577108188,"Pair"
0x2abe4363b3a1dce97b68dad882427091c957ec83,352.7504561140418,198.90663431562115,""
0xf60fd90fc72e1eb4d2054a24f5dcf7658f166eda,345.9756309702149,179.5152183111694,""
0x238d9eb315ab2ed2c6116f1340c261a5ea767bb5,326.9038753712671,145.76990320912694,""
0x7dd344e58c635903ca7629acbd463a7b4fc8bced,324.8909622315523,177.0173100588067,""
0x5b0f1ca39f3c610b4f5b3e4ecb0586a34ac3eec5,318.2215170463631,188.10906552246792,""
0x2b0e72406854d7f2fad5dccf5453e76b03bbc15a,311.74182444193127,238.50572046399833,""
0xca4ad39f872e89ef23eabd5716363fc22513e147,310.81571303597866,219.56674681858908,""
0x00275755e834b16fe7cc6083cec67e81425d0356,310.6300543610621,219.65394248938014,""
0x8d07d225a769b7af3a923481e1fdf49180e6a265,309.3518907433427,186.84552582804423,""
0xd828fada892933f44c3030b3c16a63496b5225b5,305.26586822785487,233.25487097637682,""
0xde2c389ad2c41170b58244b534249a3640202285,304.57759005069016,178.00641299645525,""
0x4606728ba59b46f637272a5286806e3a9de18b23,297.1579302666173,164.95560881387487,""
0x60c0e586727467602a6ac5b7c5bacb94600ccc75,293.3444254753219,224.14564888339535,""
0x31d06861591b990e980aabc970d7822292d55e5e,293.23101138817634,150.90316619648252,""
0x05655ef61e8272e495c3692ce077f968ede38a29,288.55736915251043,168.90859500605748,""
0x3319c5056371681bdd48eedcce6997a8d44179fc,286.7011045953581,164.97942697890514,""
0x8e1fcc4d6104c2cbb642828e1b34b2f568b709b4,283.05091719566104,162.87896131652982,""
0xfbc2d56bbbe15c30c8bd5cd7a4bc82123c48309f,280.81384380489646,139.4234781712587,""
0x55e17193366f019f67ee637e594b0b25a56ee48e,272.7577616172927,135.8488077945335,""
0x4bc92ef470d68964a79d52ae661eae28ca6564c6,267.63201447684366,143.68686877519886,""
0xc35c68d57f38a14543c882f37f8768e0eb30664c,264.21179303727325,112.74392790127916,""
0x2251419730622aaeb483b8d5715ceeb29a0d6385,262.7462681132244,130.39072576013686,""
