Address,Average Total cStables in USD,Average cUSD in USD,Average cEUR in USD,Average cREAL in USD,Average cUSD Balance,Average cEUR Balance,Average cREAL Balance
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,131732.6951236071,0,131732.6951236071,0,0,125000.06653971167,0
0x573dee1fe5bbd090c61faa82873d5174f25c9686,127625.87317600405,127625.87317600405,0,0,127990.86468417621,0,0
0x7da99753ff017f1b7afb2c8c0542718dc9f15f21,127043.5977845107,127043.5977845107,0,0,127651.71839609923,0,0
0xddccf2341e4503af58788e7f71f82f69a0c65402,126712.74682724666,126712.74682724666,0,0,127371.65499999997,0,0
0x044ff4731885e0b9dc39d49962d47fa318ded59b,122118.53492800146,857.4222660159767,121261.11266198549,0,860.321274687507,114152.385652037,0
0xa228228fba1dbb76cbfced5abe2644d4ff00adc5,118988.28939561646,118988.28939561646,0,0,119623.71635115048,0,0
0x14834ac9e4723ce9146dda7e31bd4c42c639c09f,118956.04888590374,118956.04888590374,0,0,119558.80882201059,0,0
0xa3415d81a7e8a6cd0643b74e5722c83fc0b648bd,117834.84260491723,117834.84260491723,0,0,118313.01099127642,0,0
0xd04ce1a37798ff25104b1de4e065c586b08d48e8,112848.1131131366,40890.41327704218,71957.69983609441,0,41385.85449818351,70031.74863315118,0
0x612a7c4e40eacb63dadad4939dfedb9d3397e6fd,104694.13666673172,104694.13666673172,0,0,105037.1576725642,0,0
0xd108165e54ba435102f965f15ca5dd3101fcd1a9,103456.51941480777,103456.51941480777,0,0,103885.8801,0,0
0xac19b8ab514623144cbc92c9c4acb3583e594be3,91319.53862357803,91319.53862357803,0,0,91782.35112914676,0,0
0xdc4690982cff5fa3a098cd336aead7767ab82452,90326.16954544245,90326.16954544245,0,0,90622.26254103276,0,0
0xba6bfae542ce758f58183ecd7d019a346693cf89,89812.56825727229,38571.33059325934,51241.23766401294,0,38676.25988788,47947.77107025,0
0xff639206d4c7f3bfad4aaa75fefc8bd453fe2787,85790.62465945957,85790.62465945957,0,0,86038.62975288754,0,0
0x1bc5b032f9a2377ea2e1dd308a43413663050c5d,84705.01275744206,84705.01275744206,0,0,85360.74706087993,0,0
0xcf5b7f0288fe863ce2941a0c24fcdc3d8a4443fc,80579.91449513895,80579.91449513895,0,0,81048.69503987757,0,0
0x9288bca9a883dbafd5625a1a11ccc9363a1aabe9,79083.70000000001,79083.70000000001,0,0,79166.66666666667,0,0
0xc0ba93d4aaf90d39924402162ee4a213300d1d60,78357.69436455998,78357.69436455998,0,0,79059.02271868609,0,0
0xb0394d0f593c719219fcfcda7ca2778eaccdbc93,76528.1114144,76528.1114144,0,0,76614.28333333334,0,0
0xc2fd7bd1c2a86b57f8da0837d32aa9ca86cc1d6b,74308.20870840007,37270.476432568066,37037.732275831964,0,37499.52476228285,34941.57749094493,0
0xdc553892cdeeed9f575aa0fba099e5847fd88d20,72562.81807502916,72562.81807502916,0,0,72936.72083333334,0,0
0x5c1e76bc987acc7a71ee6119fca59609cc6b9cae,71573.79038142749,71573.79038142749,0,0,72293.4754046803,0,0
0x924531e9baf2862f0deeda90dac18eb53cde859a,69647.02500000001,69647.02500000001,0,0,70000,0,0
0x5776b4893faca32a9224f18950406c9599f3b013,69105.80814908461,68643.1076680846,462.7004810000001,0,69150.89435906442,416.6333333333334,0
0x74645efa0029302479c9fd0c497ee56e747d7299,68593.07565093128,37200.950650931285,31392.124999999996,0,37308.030026826855,29166.66666666666,0
0xd1d8042ad72c1e22320708e1553f2dd09ca96fba,67665.07934049396,23519.47148449658,44145.60785599736,0,23676.71614113047,41731.64251711139,0
0x9c958c5b147a07d9b77d20bb5c8f617fa9ba5ed7,66370.07333333333,66370.07333333333,0,0,66666.66666666667,0,0
0x9e240434e845d7bb2ce7218ed487687a6bc2e111,64892.747019583585,5163.403515113459,1642.8516294850408,58086.491874985106,5191.155765999663,1552.7826093052088,298781.37804771826
0x999842883912c40027901c1ea35bafd8bd1a42f1,64424.46479842606,64424.46479842606,0,0,64844.26531631846,0,0
