Address,Average Total cStables in USD,Contract,Beneficiary,Average cUSD in USD,Average cEUR in USD,Average cREAL in USD,Average cUSD Balance,Average cEUR Balance,Average cREAL Balance
0x8580db53c3ebc56230662b771cef2707e92ef83a,3241.3199465077837,Validator Group,0xC05153EaAEAb67D5BAc1C25B1e5675Fb85B75a08,3241.3199465077837,0,0,3247.845228463161,0,0
0x3dcf2ed8dc84a63ffd2bfdc3cdb2fa0b1aeafe5c,3148.7712536410713,Validator Group,0x8b87dE691F8bf0040FF585326EEB612De81f0D53,3148.7712536410713,0,0,3179.0217823068865,0,0
0x067e453918f2c44d937b05a7ee9dbfb804c54add,3075.914529319016,Validator Group,0xbb161C8a7128c20CeE5E5E36038213e57d9bbc64,3075.914529319016,0,0,3082.649914255486,0,0
0x1d083becfaac301b4b845d0e5b80a9da5f6de946,2879.0557209132076,Validator Group,0x7C357DbABdD47aE8263C0c0A9E2d656Ed880481A,2879.0557209132076,0,0,2886.3631398901957,0,0
0x2af540161cbeb58fdc99b159c76e390598860510,2273.857284243796,Validator Group,,2273.857284243796,0,0,2280.2068168908636,0,0
0xee6c0fa803099837690d440b3108d03763ab7550,2192.032506436064,Validator Group,,2192.032506436064,0,0,2190.5238690254955,0,0
0x061e9958028dcaa66fd8b255ad95194203b6c4da,1937.9744809845774,Validator Group,0xFB5A0cf1baAeb160ef99E1Ac1a3794e5cCF20b9E,1937.9744809845774,0,0,1946.1408614917216,0,0
0x21fb4411fa5828344c2788ab07d4cc12a12571b9,1931.7491290002868,Validator Group,0x66501a0A13B9B77ADB332A3aeF4F6eBe4F8Fd12E,1931.7491290002868,0,0,1937.1122103267207,0,0
0xcc4b2bcbbc9639ef1e91f47acfd12bd131525e79,1846.0890128744727,Validator Group,0xA087388376F1eBE368E3ae22D630146319410082,1846.0890128744727,0,0,1852.6020194490402,0,0
0x0f66619058bb9675f3d394fcc2ce236a29901571,1824.0471483620704,Validator Group,0xb3Ba92Ab0E7F52E931D9773ab755bF01a0ba3074,1824.0471483620704,0,0,1828.9795576693668,0,0
0x81ae1c73a326325216e25ff1af9ea3871195036e,1654.0013712968573,Validator Group,0xBa7C96cccB363CaF62b6E86665AC0C7d53BEdfba,1654.0013712968573,0,0,1657.0735267006567,0,0
0x95ae59515915d6c493a846ae022f93726652b50a,1641.4170104672983,Validator Group,0x36F669B1C347CB52Df8fa9e8FDE0b3061170669e,1641.4170104672983,0,0,1647.992106387287,0,0
0x6cf4bb9ff947610944c6d8e0e5ea26b1dea73196,1439.7566874133904,Validator Group,0xcDe0c50fF41cDD3dd22457853D9C0b4c0C35dFE3,1439.7566874133904,0,0,1447.191897146896,0,0
0x8851f4852ce427191dc8d9065d720619889e3260,1380.684820091951,Validator Group,0x5d4aeaf81a25a590Fac7215851a5541e6239FaF7,1380.684820091951,0,0,1384.1767655688507,0,0
0xd25c6a9fef4744e8d4f90bf6bdfaf7686909d799,1160.2025441987635,Validator Group,0xb6364907F4e5f7B3D35891144f9DBf9c571759D6,1160.2025441987635,0,0,1165.1490387692015,0,0
0x3d451dd723797b3de938c5b22412032b6452591a,1157.4051750725957,Validator Group,0xC8269fB652e55d2ae6F379718d5eC5a49921607B,1157.4051750725957,0,0,1167.41198654784,0,0
0xb87f2354e34b26ba6406ac60ea99dcd8cd5e63bf,900.8534730873832,Validator Group,0x811fCDCA76977Aa7236f48dF1A37446fa13eC8cc,900.8534730873832,0,0,905.4946430198962,0,0
0x7e11e85faa97652623929c9677e442e219ce0bbd,814.6720312310083,Validator Group,,814.6720312310083,0,0,816.7377331890495,0,0
0xb434feb47d6154b4b4058df5c9fced123db9abf6,551.2734096133013,Validator Group,,551.2734096133013,0,0,553.3180710275482,0,0
0x8493bd3de67ac341d4cc11531f96a1a2cdbf29ad,550.3563477576967,Validator Group,0x81a9CC4103e2c66a652b2C17BaaF134FdaeAfCA9,550.0357704309874,0.3205773267092099,0,550.1260914085688,0.2998370892693601,0
0x71dcc67baeecd9308e341359f70b782d9c3565b8,533.0145796433738,Validator Group,,533.0145796433738,0,0,535.1353310909064,0,0
0xc64df5be250264bf2888591d87cdeb13bfadc501,380.9073256241758,Validator Group,0xfB32cab6De0BcC462917C8194DfC3A6C71e63d94,380.9073256241758,0,0,382.72983905930454,0,0
0x8eb004dad9397b8f23e1279905c584920000756d,335.2219157604226,Validator Group,0xD4A6dd7e815175fd5232dC32CF1c0dD926D81255,335.2219157604226,0,0,336.3836090844582,0,0
0x07fa1874ad4655ad0c763a7876503509be11e29e,280.3947987838201,Validator Group,0xBecc041a5090cD08AbD3940ab338d4CC94d2Ed3c,276.0111948650701,4.3836039187499996,0,276.5347570031654,4.1000000000000005,0
0x580f29ab04b7ed4e5aa86584d38c9317d9cf0358,269.37786070657404,Validator Group,0x3Ca536b532D00529d1B37f68137F011F2D1d2CeE,269.37786070657404,0,0,270.1223869710095,0,0
0xbb59448319755708d06dacaac017308129fffdbb,241.00593025062037,Validator Group,0x15868524D44f60d9F2aC492A3A803a19d4E0AA5C,241.00593025062037,0,0,242.4220142043939,0,0
0x4d5a51039ea45063d4b665b21755db20a738dadc,221.9749089896782,Validator Group,0xd5c94Eba1431F8E481D1621402dABf204C1d12D3,221.9749089896782,0,0,222.7931726143978,0,0
0xc7d5409fee80b3ac37dbc111664dc511a5982469,186.00339709146417,Validator Group,0x000aAEE22EB8491e72fDff1fF3cDeB1cF071eE76,186.00339709146417,0,0,186.7327409021246,0,0
0xe92b7ba8497486e94bb59c51f595b590c4a5f894,49.11652132491802,Validator Group,,49.11652132491802,0,0,49.59844408429302,0,0
