Address,Total Volume in USD,cUSD Volume in USD,cEUR Volume in USD,cREAL Volume in USD,Contract,cUSD Volume,cEUR Volume,cREAL Volume
0xca9c8d118c0b3b8b2a0470e8476a661d59b1dd19,9.903399917197771e+06,6.795476371979093e+06,3.1079235452186777e+06,,,6.81829926814887e+06,2.906693147261881e+06,
0xfaf4c940351e5f68f582190d443a61374aab984e,9.709771999692561e+06,9.709771999692561e+06,,,,9.742382681571314e+06,,
0x0708501b884f5637159e61566581cd5933e36e21,8.703209544008316e+06,842439.0489118543,7.860770495096462e+06,,,845268.416257161,7.351804958473517e+06,
0x12754986a16982a349e8d8cf7a4b8cf0ece66143,8.604257558644699e+06,8.604257558644699e+06,,,,8.63315532329424e+06,,
0xa730b463395f5ca07ece5cefeccf7f45e1e2c9bf,7.885238801685433e+06,7.656394886102192e+06,220183.17086664637,8660.744716594429,unverified,7.682109213686475e+06,205926.85263608734,43219.54343663161
0xf35ed7156babf2541e032b3bb8625210316e2832,7.702674066916355e+06,7.4408399644525675e+06,253786.42897556783,8047.673488219399,unverified,7.465830341672461e+06,237354.38251247036,40160.146184830075
0x1bc5b032f9a2377ea2e1dd308a43413663050c5d,7.507446173884237e+06,7.507446173884237e+06,,,,7.532660250888944e+06,,
0x0b655e7d966cb27998af94aa5719ab7bfe07d3b3,6.91434361715484e+06,3.45321546871801e+06,3.461128148436831e+06,,Pair,3.464813239614455e+06,3.237028621998702e+06,
0x4b14ec915133df0c0302eaa0c93736abc5ad8619,6.901722235324797e+06,6.901722235324797e+06,,,,6.92490196274155e+06,,
0x2fc376998c1e647976825ea82b2741e948817a93,6.724478354011214e+06,6.724478354011214e+06,,,,6.747062800320578e+06,,
0x79ff100574a8240e8f8d74058c0b273b8f74ea6f,6.521897150742285e+06,,6.521897150742285e+06,,,,6.0996203669082e+06,
0xfe8ab454a86e947fa3807bfbfbea64f95dcef092,6.454727938068203e+06,6.001654747746361e+06,453073.19032184134,,unverified,6.021811560257619e+06,423737.81669841945,
0x1e593f1fe7b61c53874b54ec0c59fd0d5eb8621e,6.337043180251411e+06,6.337043180251411e+06,,,UniswapV2Pair,6.358326409065603e+06,,
0x2962518b087b3ae071ca4d737c7d874af04b2142,6.271366540443947e+06,2.933419696780288e+06,3.3379468436636585e+06,,unverified,2.943271711487904e+06,3.1218230034416458e+06,
0xce10ec502aa66ddb187ad9190654a3b4fc29908c,6.127940132754602e+06,6.127940132754602e+06,,,,6.14852108009792e+06,,
0xdb6f1920a889355780af7570773609bd8cb1f498,6.032714707225911e+06,4.998385785831489e+06,1.0075624046368763e+06,26766.516757545778,unverified,5.015173076900135e+06,942325.2195190808,133572.42032934187
0xf89d7b9c864f589bbf53a82105107622b35eaa40,5.896548615581308e+06,5.896548615581308e+06,,,,5.916352424681192e+06,,
0x6dec25d7be9bf6c6fc302977629f2e801e98611c,5.894468165161581e+06,5.894468165161581e+06,,,,5.914264986980322e+06,,
0xb90c0a9008f1bafc12c751ae33e05eb7e0002132,5.843737524072639e+06,4.1351387529304726e+06,1.5983581619576947e+06,110240.60918447054,unverified,4.149026792155347e+06,1.4948684060713057e+06,550131.5363792949
0x7d28570135a2b1930f331c507f65039d4937f66c,5.680559142205044e+06,5.364768716330011e+06,274748.251988182,41042.173886850054,unverified,5.382786520040218e+06,256958.97909227296,204811.9503670125
0xea3fb6e3313a2a90757e4ca3d6749efd0107b0b6,5.667622317962396e+06,5.667622317962396e+06,,,Pair,5.68665726836348e+06,,
0xf9ce7198ebfe65ab83f4dcc87e9568d26fced832,5.598429335484024e+06,5.598429335484024e+06,,,,5.617231898313092e+06,,
0xd334c118a49565538dc4b97ad637947507b1a45c,5.532471194890673e+06,5.532471194890673e+06,,,,5.55105223450166e+06,,
0x48f337122419201a93cd5d834029f2fdbbfd0ed7,5.530259885048821e+06,5.530259885048821e+06,,,,5.548833497881734e+06,,
0x1c4e483b6d83937c91e6574ae559363b21c0e4e7,5.480001928012323e+06,5.388903531092761e+06,91098.39691956119,,,5.40700239260396e+06,85200,
0x3001a219e647409b94522c7ecc5795d97e467957,5.3514483354835985e+06,5.3514483354835985e+06,,,,5.369421402128682e+06,,
0x0a96c96a4b791537a612312d8ff6073083d9e991,5.262308229165957e+06,3.005590880920126e+06,2.1210758478230746e+06,135641.50042275633,unverified,3.0156852856165976e+06,1.9837414086890656e+06,676889.1026309336
0x843809614e958ac8a4bc18b3d9d9a46468b51eef,5.217625486539487e+06,2.558839585701678e+06,2.658785900837809e+06,,unverified,2.567433557188415e+06,2.4866360595939285e+06,
0xc94b947a1b2958c68150bcaa630f011765ac18e9,5.09713729283099e+06,4.465640378233582e+06,631496.914597408,,unverified,4.480638421211738e+06,590609.0440999423,
