Address,Total Volume in USD,cUSD Volume in USD,cEUR Volume in USD,cREAL Volume in USD,Contract,cUSD Volume,cEUR Volume,cREAL Volume
0x39a5a4d1373da8cca9492881d20e7607845a7d86,4060704.2019127333,3843536.0625155256,216844.77217962424,323.367217583583,unverified,3854404.8715270343,202676.48473854145,1611.4107406054397
0x4e85b7d1640f0da32a3cac42d2b6d5b3e83e9cf4,3988919.878129999,3988919.878129999,,,,4000199.805679119,,
0xbbbd1bbb4f9b936c3604906d7592a644071de884,3965896.7580174753,3839079.862607117,126816.8954103583,,unverified,3849936.0703095878,118530.88413833501,
0x22bf900bdfd4cdf0af25e142bf0d12f383c6ba75,3923066.6675679996,3923066.6675679996,,,,3934160.3744191085,,
0x573dee1fe5bbd090c61faa82873d5174f25c9686,3917190.543193737,3917190.543193737,,,Gnosis Safe,3928267.6334520746,,
0x796dff6d74f3e27060b71255fe517bfb23c93eed,3825203.506779951,1217309.5115324778,2607893.9952474735,,TokenBridge,1220751.83765445,2437498.4105665903,
0x2f399918581abc119c1428a9422654ffeccf5ac7,3674194.2782297847,3674194.2782297847,,,unverified,3684584.2199999997,,
0x2e2d7dc6509489600b4e81b3053ba900ab20545e,3662525.53102179,3662525.53102179,,,,3672882.4757333733,,
0xc4fa4048d8c0cbcf06c2de20e089e50e3a32445c,3606611.06986698,,3606611.06986698,,,,3370960.9233938246,
0xc66c4ff9cc785f865b3ed48d493d239a3ed2be9b,3567198.53720961,3458883.401024765,108315.1361848451,,,3468664.483462225,101238.0,
0x69ef304b255449855ecae5466d721d45387ad2d5,3540095.227474371,3540095.227474371,,,unverified,3550105.9619345516,,
0xbbc1ecc38e6c962558d31a1e7431a9a8063a93cf,3523630.497687833,3523630.497687833,,,,3533594.6729378058,,
0x10158838fa2ded977b8bf175ea69d17a715371c0,3518393.638775734,927235.0684836658,2591158.570292068,,,929857.1177383633,2421856.451267901,
0xf199bff2c3f56a2642edce2bc07316362146a36a,3478522.8789037783,3478522.8789037783,,,,3488359.4981517904,,
0x1e06c7be798a1f2ff6a023b15422a74f646740ac,3460388.1623757877,3460388.1623757877,,,unverified,3470173.4999999995,,
0x554cd8d5022b49ad7ecefb3732178fb3d4c4356f,3302030.58972611,3302030.58972611,,,,3311368.121427687,,
0x52c2c35b4f5f03d9097c702c1a90597659ec2dda,3164443.0239223936,3109024.105216632,55418.918705761585,,unverified,3117815.850282154,51797.936,
0x2bbe282a893d2cb4672306a7e879e3cca4a1cda6,3086273.3680599495,3086273.3680599495,,,,3095000.7782492,,
0x4ddfd392ba63c2fd294ee20d483388dfa774cca5,2930415.635673534,1292977.5940531874,1637350.3156662907,87.7259540559385,unverified,1296633.8955155252,1530368.4886158737,437.15793348489217
0x313bc86d3d6e86ba164b2b451cb0d9cfa7943e5c,2929098.7711886247,1291827.9304722017,1637183.3422290394,87.49848738355593,unverified,1295480.980898596,1530212.4249535282,436.0244164829335
0xd7f77169d5e6a32c5044052f9a49eb94697b25ed,2922662.747697887,1285411.3744072295,1637183.1443461634,68.22894449438118,unverified,1289046.28,1530212.24,340.0
0x5dae2c3d5a9f35bfaf36a2e6edd07c477f57789e,2922594.5187533926,1285411.3744072295,1637183.1443461634,,,1289046.28,1530212.24,
0x39913d1d0ce7cdbbd60681e2aa4627bf6f0fcb94,2922594.5187533926,1285411.3744072295,1637183.1443461634,,,1289046.28,1530212.24,
0x95b5579b323ddc6cd290bd4da6e56ba019588efc,2922594.5187533926,1285411.3744072295,1637183.1443461634,,,1289046.28,1530212.24,
0xb75af6aac0b676857bd1e0953849593b25f6adec,2908477.7734954054,2908477.7734954054,,,,2916702.4106316706,,
0xb861d013939b5e95f84e288004999918fd40779b,2891984.6540059014,2891984.6540059014,,,,2900162.65165113,,
0x0d9e269ecc319bae886dd8c8b98f7b89269c2b1b,2851438.2845112425,1611694.905565096,1199777.153202646,39966.225743500334,Gnosis Safe,1616252.4806283943,1121385.6503734328,199160.5887133306
0xf799456acc63455c48016dacaea0f91b23f29d82,2845060.178719203,2728788.365284397,116271.81343480624,,Gnosis Safe,2736504.874013,108674.8008,
